Product_Id,Precio_de_lista,Precio_con_Descuento,Marca,Categoria,Disponibilidad
102,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
103,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
104,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
105,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,FALSE
106,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
107,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
108,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
109,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
110,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
111,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
112,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
113,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
114,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
115,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
116,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
117,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
118,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
119,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
120,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
121,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
122,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
123,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
124,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
125,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
126,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
127,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
128,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
129,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
130,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
131,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
132,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
133,15.99,15.99,Vickerman,,TRUE
134,15.99,15.99,Vickerman,,TRUE
135,15.99,15.99,Vickerman,,TRUE
136,16.59,16.59,Caroline's Treasures,Beauty|Hair Care|Styling Accessories|Hair Clips,TRUE
137,16.82,16.82,Vickerman,,FALSE
138,16.95,16.95,Buckle Down,,TRUE
139,16.98,16.98,Caroline's Treasures,Home|Kitchen & Dining|Kitchen Storage & Organization|Counter Organizers,TRUE
140,16.99,16.99,Vickerman,,TRUE
141,17.89,17.89,Vickerman,,TRUE
142,17.89,17.89,Vickerman,,TRUE
143,22,17.97,Caroline's Treasures,Baby|Feeding|Bib & Burp Cloth Sets,TRUE
144,17.99,17.99,Vickerman,,TRUE
145,22.88,17.99,Vickerman,,TRUE
146,18.71,18.71,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
147,18.71,18.71,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
148,18.71,18.71,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
149,28.93,18.9,Trevco,Clothing|Kids Clothing|Girls Clothing|Toddler Girls Clothing|Toddler Girls Tops & T-Shirts|Toddler Girls Graphic Tees,TRUE
150,28.93,18.9,Trevco,Clothing|Kids Clothing|Girls Clothing|Toddler Girls Clothing|Toddler Girls Tops & T-Shirts|Toddler Girls Graphic Tees,TRUE
151,18.95,18.95,Caroline's Treasures,Baby|Feeding|Bibs and Burp Cloths,FALSE
152,18.99,18.99,Vickerman,,TRUE
153,19.14,19.14,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
154,19.95,19.95,Buckle Down,,TRUE
155,20.23,20.23,Vickerman,,TRUE
156,20.23,20.23,Vickerman,,TRUE
157,20.23,20.23,Vickerman,,TRUE
158,20.79,20.79,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
159,21.72,21.72,TerraVita,Health|Vitamins & Supplements|Homeopathic Remedies|All Homeopathic Remedies,TRUE
160,21.95,21.95,Buckle Down,,TRUE
161,21.98,21.98,Vickerman,,TRUE
162,21.99,21.99,Trevco,Clothing|Men|Mens T-Shirts & Tank Tops|Mens T-Shirts,TRUE
163,22.88,22.88,Vickerman,,TRUE
164,22.88,22.88,Vickerman,,TRUE
165,22.88,22.88,Vickerman,,TRUE
166,22.88,22.88,Vickerman,,TRUE
167,22.88,22.88,Vickerman,,TRUE
168,22.88,22.88,Vickerman,,TRUE
169,22.88,22.88,Vickerman,,TRUE
170,22.88,22.88,Vickerman,,TRUE
171,22.88,22.88,Vickerman,,TRUE
172,22.88,22.88,Vickerman,,TRUE
173,22.88,22.88,Vickerman,,TRUE
174,22.88,22.88,Vickerman,,TRUE
175,22.88,22.88,Vickerman,,TRUE
176,22.88,22.88,Vickerman,,TRUE
177,22.88,22.88,Vickerman,,TRUE
178,22.88,22.88,Vickerman,,TRUE
179,22.88,22.88,Vickerman,,TRUE
180,22.88,22.88,Vickerman,,TRUE
181,22.88,22.88,Vickerman,,FALSE
182,22.99,22.99,Vickerman,,TRUE
183,22.99,22.99,Vickerman,,TRUE
184,22.99,22.99,Vickerman,,TRUE
185,22.99,22.99,Vickerman,,TRUE
186,23.42,23.42,TerraVita,"Food|Condiments, Sauces & Spices|Salt, Spices & Seasoning",TRUE
187,25.99,23.99,Vickerman,,TRUE
188,24.18,24.18,Vickerman,,TRUE
189,24.29,24.29,TerraVita,"Food|Condiments, Sauces & Spices|Salt, Spices & Seasoning",TRUE
190,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
191,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
192,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
193,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
194,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
195,24.95,24.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
196,24.95,24.95,Buckle Down,Musical Instruments|Instrument Accessories|Guitar Accessories|Guitar Straps,TRUE
197,26.7,26.7,Vickerman,,TRUE
198,26.7,26.7,Vickerman,,TRUE
199,26.7,26.7,Vickerman,,TRUE
200,26.7,26.7,Vickerman,,TRUE
201,26.7,26.7,Vickerman,,TRUE
202,26.7,26.7,Vickerman,,TRUE
203,26.7,26.7,Vickerman,,TRUE
204,26.7,26.7,Vickerman,,TRUE
205,26.7,26.7,Vickerman,,TRUE
206,26.7,26.7,Vickerman,,TRUE
207,26.99,26.99,Vickerman,,TRUE
208,26.99,26.99,Vickerman,,TRUE
209,28.8,28.8,TerraVita,Health|Vitamins & Supplements|Homeopathic Remedies|All Homeopathic Remedies,TRUE
210,28.95,28.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
211,28.95,28.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
212,28.95,28.95,Buckle Down,Pets|Dogs|Dog Collars & Leashes,TRUE
213,29.95,29.95,Trevco,Clothing|Juniors|Juniors Tops & T-Shirts|Juniors Tank Tops,TRUE
214,29.95,29.95,Trevco,Clothing|Juniors|Juniors Tops & T-Shirts|Juniors Tank Tops,TRUE
215,29.95,29.95,Trevco,Clothing|Juniors|Juniors Tops & T-Shirts|Juniors Tank Tops,TRUE
216,29.95,29.95,Trevco,Clothing|Juniors|Juniors Tops & T-Shirts|Juniors Tank Tops,TRUE
217,29.95,29.95,Trevco,Clothing|Juniors|Juniors Tops & T-Shirts|Juniors Tank Tops,TRUE
218,35.99,35.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
219,39.9,39.9,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
220,39.99,39.99,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
221,39.99,39.99,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
222,40,40,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
223,41.5,41.5,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
224,42,42,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
225,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
226,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
227,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
228,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
229,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
230,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
231,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
232,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
233,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
234,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
235,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
236,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
237,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
238,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
239,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
240,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
241,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
242,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
243,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
244,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
245,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
246,42.08,42.08,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
247,42.99,42.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
248,42.99,42.99,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
249,87.99,43.53,HP,Office|Paper|All Paper & Printable Media,FALSE
250,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
251,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
252,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
253,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
254,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
255,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
256,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
257,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
258,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
259,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
260,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
261,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
262,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
263,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
264,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
265,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
266,44.55,44.55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
267,45.53,45.53,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,TRUE
268,46.88,46.88,Pantene,Personal Care|Bath & Body|Body Lotions & Creams,TRUE
269,48.2,48.2,TerraVita,Health|Vitamins & Supplements|Homeopathic Remedies|All Homeopathic Remedies,TRUE
270,48.2,48.2,TerraVita,Health|Vitamins & Supplements|Homeopathic Remedies|All Homeopathic Remedies,TRUE
271,49.5,49.5,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
272,99,49.5,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
273,49.5,49.5,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
274,55,49.5,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
275,51.81,51.81,TerraVita,Health|Vitamins & Supplements|Homeopathic Remedies|All Homeopathic Remedies,TRUE
276,55,55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
277,55,55,Aviana,Clothing|Women|Womens Lingerie & Shapewear|Womens Bras|Bras,FALSE
278,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
279,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
280,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
281,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
282,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
283,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
284,55.99,55.99,Ebern Designs,"Food|Condiments, Sauces & Spices|Salad Dressings & Toppings",TRUE
